headline,group_name,group_description,importance_score
Cops detain boyfriend of Malwani woman who committed suicide,RegionalNews,State-wise and city-wise local news,4.5
Kolkata hospital fire,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Nothing wrong in Ayush admissions: Madras high court,LawJustice,"Courts, legal judgments, litigation",6.0
Hockey 9s event may prove to be beneficial for us: Chetri,RegionalNews,State-wise and city-wise local news,4.5
MRS. SEEMA TANDON,RegionalNews,State-wise and city-wise local news,4.5
9 die in two separate road accidents,Infrastructure,"Roads, railways, airports, smart cities",4.5
Union govt bid to save animals; insects,RegionalNews,State-wise and city-wise local news,4.5
Stylist Sonal Jindal hosted a fashion evening at Brix in Vasant Kunj,RegionalNews,State-wise and city-wise local news,4.5
Today's economic crisis is also the best opportunity for reform,Economy,"GDP, inflation, economic indicators, fiscal updates",7.0
Collector orders corporation secretary to close down Cinepolis,RegionalNews,State-wise and city-wise local news,4.5
On V-Day; Sena activists turn moral police; but curb violent instincts,Crime,"Criminal cases, investigations, arrests",4.5
Now; Mohali girl molested; thrashed,RegionalNews,State-wise and city-wise local news,4.5
St Mary's told to refund 1.45 crore,RegionalNews,State-wise and city-wise local news,4.5
Pollution board drafts 10-point plan,EnvironmentClimate,"Climate change, pollution, conservation",4.5
'Ailing' Amarmani back in jail's hospital after high drama,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
525 died in the vicinity of Delhi Metro stations: Report,Infrastructure,"Roads, railways, airports, smart cities",4.5
'Road nahi to vote nahi' challenge voters,Infrastructure,"Roads, railways, airports, smart cities",4.5
Defacement of school walls: Electoral chief told to pay up in Kerala,Education,"Schools, colleges, exams, admissions, policies",4.5
Tamil Nadu CM M K Stalin: Droupadi Murmu's election shows India's trust in inclusiveness,Politics,"Elections, political parties, ministers, governance, parliament",9.3
Football: Portugal won it for Ronaldo; says Pepe,Sports,"Cricket, football, Olympics, tournaments",4.5
Road widening not a solution; say experts,Infrastructure,"Roads, railways, airports, smart cities",4.5
Rajasthan: Family targets power officials; two injured,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Murder charges on six cops for custodial death,Crime,"Criminal cases, investigations, arrests",6.5
Indian Council of Agricultural Research to involve farmers; industry in research,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
Youth held for theft from trains,RegionalNews,State-wise and city-wise local news,4.5
Delhi gang rape: 7 metro stations closed today,Infrastructure,"Roads, railways, airports, smart cities",6.5
Maoists work out trick to identify police informers,Crime,"Criminal cases, investigations, arrests",4.5
Yeh Rishta Kya Kehlata Hai written update; August 07; 2019: Naira gets worried about Kairav's health,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.3
Cop booked for assault on woman constable,RegionalNews,State-wise and city-wise local news,4.5
Complaints flood health forum,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
In Pics: The week gone by,RegionalNews,State-wise and city-wise local news,4.5
Premavatipet temple chariot damaged in fire,RegionalNews,State-wise and city-wise local news,4.5
Nifty shies away from 2800 ahead of F&O expiry,StockMarket,"NSE, BSE, shares, trading, investments",6.0
No high court relief for Telangana in title dispute over 40-acre land,LawJustice,"Courts, legal judgments, litigation",6.0
UK universities group calls for new post-study visa to attract Indian students,WorldNews,Major international events and developments,7.0
Gadkari slaps defamation notice on Kejriwal for including his name in 'list of corrupt',RegionalNews,State-wise and city-wise local news,4.8
Model Town residents take caution against strays as MC does nothing,RegionalNews,State-wise and city-wise local news,4.5
Murdered girl was first in her family to get into Delhi University,Education,"Schools, colleges, exams, admissions, policies",6.5
Stay on Haryana Police selections lifted,Crime,"Criminal cases, investigations, arrests",6.5
Pvt security firms in police radar,Crime,"Criminal cases, investigations, arrests",4.5
UK terror: 4 held in Gujarat,WorldNews,Major international events and developments,7.0
Makar Sankaranti celebration in Home Minister,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Slain DMK leader's kin to meet Jaya,RegionalNews,State-wise and city-wise local news,4.5
Unfashionable Virtue Of Heartfelt Humility,RegionalNews,State-wise and city-wise local news,4.5
Girls of shelter homes unsafe,RegionalNews,State-wise and city-wise local news,4.5
MSME Policy '15 gets nod from CM; aims at single window system,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Expressway: Farmers allege forcible acquisition,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
Airport in tourism revival mode,Infrastructure,"Roads, railways, airports, smart cities",4.5
MANORMA MALHOTRA(DEVI),RegionalNews,State-wise and city-wise local news,4.5
Nivin is all praise for Vinayakan and Manikandan,RegionalNews,State-wise and city-wise local news,4.5
Ayurveda congress to have free clinics; OPDs in Goa,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Oil depots in Mumbai put on terror alert,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Bombay high court quashes FIR filed after ruckus outside CP house,LawJustice,"Courts, legal judgments, litigation",6.0
Ex-PM raises drug issue; says need to cut consumption,Pharmaceuticals,"Drug industry, vaccines, medicine approvals",4.5
BJP fears Reddy duo may split party; bring down govt,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Cops arrest Soura unrest mastermind,Crime,"Criminal cases, investigations, arrests",4.5
India's 'Ujala' to light up UK homes,WorldNews,Major international events and developments,7.0
When WhatsApp saved the day for KTCL buses,RegionalNews,State-wise and city-wise local news,4.5
Karthikeyan's F1 hopes spiked by euro power,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
13 years after cancelling its lease; GDA takes over Hindi Bhawan,RegionalNews,State-wise and city-wise local news,4.5
Odisha MLA listed as BPL beneficiary; drives an SUV,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Chennai: 22 trees on Luz Church Road to be cut,Infrastructure,"Roads, railways, airports, smart cities",4.5
Credit cards- Do you need to flash many?,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
Infosys cautious on recovery,WorldNews,Major international events and developments,7.0
Kalyan Singh stages rally; courts arrest,Crime,"Criminal cases, investigations, arrests",4.5
US opens up Alaska for oil exploration,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
NASA to face DKM in final,SpaceAstronomy,"ISRO, NASA, satellites, astronomy missions",4.5
A memorable rendezvous with the Balgandharva team,WorldNews,Major international events and developments,7.0
If I have black money; make it national property: Ramdev,RealEstate,"Housing, property market, construction",4.5
Govts must work in tandem to solve pollution problem,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Two killed by PLFI splinter group,Crime,"Criminal cases, investigations, arrests",6.5
Lightning kills one; injures 8 in Hazaribag village,Crime,"Criminal cases, investigations, arrests",4.5
Gurugram: Pipes destroyed; Godrej Summit residents allege tanker mafia's role,InternationalRelations,"Diplomacy, bilateral relations, global affairs",7.0
Unauthorised railway ticket centre raided,Infrastructure,"Roads, railways, airports, smart cities",4.5
Housewife killed by robbers,Crime,"Criminal cases, investigations, arrests",6.5
Who invented the toothbrush?,RegionalNews,State-wise and city-wise local news,4.5
HC to decide on status of demolitions,WorldNews,Major international events and developments,7.0
Pension case: BJP alleges conspiracy,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Play facilities for kids inaugurated at six more police stations in Pune,Crime,"Criminal cases, investigations, arrests",4.5
Delhi tops rape tally among metros; states,Crime,"Criminal cases, investigations, arrests",6.5
Minor boy sent to juvenile home for rape,Crime,"Criminal cases, investigations, arrests",6.5
PreneetKaurattaches orders dismissing complaint against Amarinder in her reply todistrict election officer,Politics,"Elections, political parties, ministers, governance, parliament",9.3
Uttar Pradesh Rajarshi Tandon Open University prepares for eighth convocation,Education,"Schools, colleges, exams, admissions, policies",4.5
Monsoon ahead; MC yet to clean road gullies in Mohali,Infrastructure,"Roads, railways, airports, smart cities",4.5
Won't let back problem end career: Michael Clarke,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
A minding matter,RegionalNews,State-wise and city-wise local news,4.5
Poll code no ground for rejecting parole: High court,LawJustice,"Courts, legal judgments, litigation",6.0
Mumbai: Woman flung from tank still in ICU; beau in jail custody,RegionalNews,State-wise and city-wise local news,4.5
Anushka; Neha: Who's the best WAG this IPL?,Sports,"Cricket, football, Olympics, tournaments",4.5
Professor 'abuses' students for talking in exam,Education,"Schools, colleges, exams, admissions, policies",4.5
Top colleges fall short of land rule for university status,Education,"Schools, colleges, exams, admissions, policies",4.5
Centre agrees to CM Kejriwal's proposal on review of Metro functioning by expert group,Infrastructure,"Roads, railways, airports, smart cities",4.8
Tidco housing project in Vizag nearing completion,RealEstate,"Housing, property market, construction",4.5
Pak moves army closer to Punjab border; builds new bunkers,DefenceMilitary,"Armed forces, defense deals, military operations",7.0
OMG! Sky dated Farah Khan for 2 yrs!,RegionalNews,State-wise and city-wise local news,4.5
I almost feel like Amitabh Bachchan: Bipasha,RegionalNews,State-wise and city-wise local news,4.5
Sunderbans tiger census ends,WorldNews,Major international events and developments,7.0
No security head at Vizag Navy depot,DefenceMilitary,"Armed forces, defense deals, military operations",7.0
High court issues notice over bogus ration cards,LawJustice,"Courts, legal judgments, litigation",6.0
Tribal mothers from Gadchiroli turn teachers for their 1st-time school kids,Education,"Schools, colleges, exams, admissions, policies",4.5
Kozhikode health dept to chalk out plan to avoid outbreak of malaria,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Upadhyay to file defamation case against Kejriwal,RegionalNews,State-wise and city-wise local news,4.5
CBI arrests Lankesh murder suspects in Dabholkar case,Crime,"Criminal cases, investigations, arrests",6.5
Israeli caught with ammunition moves HC,RegionalNews,State-wise and city-wise local news,4.5
